Data/Ora, Ozono - µg/m³
2021/06/05,75.5
2021/06/06,75.0
2021/06/07,56.7
2021/06/08,51.0
2021/06/09,60.3
2021/06/10,79.7
2021/06/11,89.2
2021/06/12,84.5
2021/06/13,78.3
2021/06/14,108.2
2021/06/15,99.3
2021/06/16,87.7
2021/06/17,112.6
2021/06/18,91.1
2021/06/19,82.9
2021/06/20,66.8
2021/06/21,58.0
2021/06/22,72.4
2021/06/23,62.7
2021/06/24,64.9
2021/06/25,73.5
2021/06/26,88.6
2021/06/27,102.7
2021/06/28,109.3
2021/06/29,89.8
2021/06/30,79.0
2021/07/01,82.8
2021/07/02,93.7
2021/07/03,99.8
2021/07/04,65.2
2021/07/05,55.8
2021/07/06,84.7
2021/07/07,73.9
2021/07/08,53.7
2021/07/09,60.3
2021/07/10,67.9
2021/07/11,90.8
2021/07/12,89.9
2021/07/13,78.6
2021/07/14,52.7
2021/07/15,63.5
2021/07/16,61.6
2021/07/17,69.4
2021/07/18,83.0
2021/07/19,88.5
2021/07/20,93.1
2021/07/21,93.0
2021/07/22,94.4
2021/07/23,111.1
2021/07/24,101.7
2021/07/25,85.7
2021/07/26,78.7
2021/07/27,62.6
2021/07/28,74.0
2021/07/29,64.9
2021/07/30,69.5
2021/07/31,79.6
2021/08/01,74.0
2021/08/02,58.4
2021/08/03,64.5
2021/08/04,48.2
2021/08/05,58.5
2021/08/06,75.1
2021/08/07,80.5
2021/08/08,69.0
2021/08/09,79.0
2021/08/10,86.9
2021/08/11,103.7
2021/08/12,115.6
2021/08/13,115.9
2021/08/14,105.7
2021/08/15,101.5
2021/08/16,77.9
2021/08/17,75.2
2021/08/18,80.6
2021/08/19,91.1
2021/08/20,86.3
2021/08/21,90.7
2021/08/22,83.8
2021/08/23,74.0
2021/08/24,69.0
2021/08/25,72.1
2021/08/26,79.3
2021/08/27,77.7
2021/08/28,81.4
2021/08/29,71.6
2021/08/30,73.4
2021/08/31,77.9
2021/09/01,65.7
2021/09/02,83.5
2021/09/03,84.1
2021/09/04,81.5
2021/09/05,90.0
2021/09/06,85.2
2021/09/07,82.7
2021/09/08,86.9
2021/09/09,86.6
2021/09/10,82.4
2021/09/11,74.9
2021/09/12,93.6
2021/09/13,82.9
2021/09/14,66.7
2021/09/15,47.5
2021/09/16,37.1
2021/09/17,43.8
2021/09/18,62.0
2021/09/19,60.4
2021/09/20,44.9
2021/09/21,49.2
2021/09/22,45.7
2021/09/23,59.8
2021/09/24,43.1
2021/09/25,53.3
2021/09/26,35.4
2021/09/27,31.6
2021/09/28,31.2
2021/09/29,49.9
2021/09/30,41.5
2021/10/01,44.9
2021/10/02,50.0
2021/10/03,45.1
2021/10/04,36.9
2021/10/05,38.6
2021/10/06,31.9
2021/10/07,18.9
2021/10/08,19.9
2021/10/09,42.7
2021/10/10,59.1
2021/10/11,27.5
2021/10/12,24.9
2021/10/13,24.9
2021/10/14,31.4
2021/10/15,19.7
2021/10/16,21.3
2021/10/17,23.9
2021/10/18,19.0
2021/10/19,16.4
2021/10/20,8.1
2021/10/21,14.5
2021/10/22,11.6
2021/10/23,9.7
2021/10/24,23.9
2021/10/25,15.7
2021/10/26,10.9
2021/10/27,9.8
2021/10/28,10.5
2021/10/29,9.0
2021/10/30,7.4
2021/10/31,10.0
2021/11/01,8.5
2021/11/02,6.0
2021/11/03,9.5
2021/11/04,26.4
2021/11/05,9.0
2021/11/06,13.1
2021/11/07,14.0
2021/11/08,5.9
2021/11/09,9.1
2021/11/10,7.1
2021/11/11,3.1
2021/11/12,5.1
2021/11/13,4.5
2021/11/14,26.3
2021/11/15,9.4
2021/11/16,15.1
2021/11/17,10.9
2021/11/18,6.5
2021/11/19,7.8
2021/11/20,9.4
2021/11/21,2.8
2021/11/22,4.5
2021/11/23,10.7
2021/11/24,8.6
2021/11/25,3.7
2021/11/26,10.7
2021/11/27,11.4
2021/11/28,31.8
2021/11/29,24.4
2021/11/30,24.9
2021/12/01,6.8
2021/12/02,7.5
2021/12/03,8.0
2021/12/04,3.1
2021/12/05,5.7
2021/12/06,4.0
2021/12/07,6.9
2021/12/08,5.4
2021/12/09,8.1
2021/12/10,2.5
2021/12/11,6.7
2021/12/12,7.1
2021/12/13,4.1
2021/12/14,4.0
2021/12/15,4.2
2021/12/16,2.8
2021/12/17,3.1
2021/12/18,2.7
2021/12/19,4.6
2021/12/20,6.3
2021/12/21,1.4
2021/12/22,4.0
2021/12/23,2.6
2021/12/24,2.0
2021/12/25,2.8
2021/12/26,2.8
2021/12/27,2.2
2021/12/28,2.3
2021/12/29,2.4
2021/12/30,2.2
2021/12/31,2.6
2022/01/01,2.2
2022/01/02,4.3
2022/01/03,1.5
2022/01/04,2.3
2022/01/05,7.0
2022/01/06,25.4
2022/01/07,10.9
2022/01/08,5.9
2022/01/09,6.3
2022/01/10,3.3
2022/01/11,5.5
2022/01/12,5.1
2022/01/13,3.9
2022/01/14,6.1
2022/01/15,5.8
2022/01/16,9.7
2022/01/17,14.5
2022/01/18,10.9
2022/01/19,9.1
2022/01/20,9.1
2022/01/21,6.6
2022/01/22,11.8
2022/01/23,12.7
2022/01/24,3.9
2022/01/25,12.3
2022/01/26,6.0
2022/01/27,4.3
2022/01/28,10.7
2022/01/29,9.2
2022/01/30,27.7
2022/01/31,29.6
2022/02/01,57.4
2022/02/02,36.2
2022/02/03,18.3
2022/02/04,20.6
2022/02/05,5.0
2022/02/06,8.3
2022/02/07,39.7
2022/02/08,21.9
2022/02/09,26.1
2022/02/10,6.5
2022/02/11,21.2
2022/02/12,32.2
2022/02/13,28.4
2022/02/14,10.4
2022/02/15,10.0
2022/02/16,6.7
2022/02/17,16.5
2022/02/18,18.8
2022/02/19,11.8
2022/02/20,21.3
2022/02/21,36.4
2022/02/22,52.8
2022/02/23,27.9
2022/02/24,23.0
2022/02/25,36.6
2022/02/26,55.2
2022/02/27,43.2
2022/02/28,29.6
2022/03/01,54.9
2022/03/02,35.0
2022/03/03,51.6
2022/03/04,45.6
2022/03/05,60.3
2022/03/06,53.5
2022/03/07,31.7
2022/03/08,40.3
2022/03/09,28.8
2022/03/10,30.4
2022/03/11,53.7
2022/03/12,68.5
2022/03/13,66.0
2022/03/14,57.2
2022/03/15,26.7
2022/03/16,42.6
2022/03/17,42.3
2022/03/18,40.8
2022/03/19,64.7
2022/03/20,44.0
2022/03/21,67.9
2022/03/22,48.2
2022/03/23,40.3
2022/03/24,42.9
2022/03/25,66.3
2022/03/26,55.7
2022/03/27,60.1
2022/03/28,49.7
2022/03/29,67.7
2022/03/30,48.9
2022/03/31,51.2
2022/04/01,42.7
2022/04/02,56.1
2022/04/03,45.2
2022/04/04,56.1
2022/04/05,45.4
2022/04/06,63.1
2022/04/07,73.8
2022/04/08,54.9
2022/04/09,65.0
2022/04/10,71.0
2022/04/11,67.3
2022/04/12,71.5
2022/04/13,71.5
2022/04/14,61.5
2022/04/15,73.8
2022/04/16,81.7
2022/04/17,78.4
2022/04/18,85.5
2022/04/19,75.7
2022/04/20,74.9
2022/04/21,74.8
2022/04/22,56.9
2022/04/23,52.3
2022/04/24,71.6
2022/04/25,64.4
2022/04/26,45.0
2022/04/27,57.7
2022/04/28,81.6
2022/04/29,83.8
2022/04/30,83.2
2022/05/01,87.1
2022/05/02,76.9
2022/05/03,72.6
2022/05/04,54.9
2022/05/05,43.3
2022/05/06,42.6
2022/05/07,53.8
2022/05/08,58.8
2022/05/09,47.2
2022/05/10,65.4
2022/05/11,85.2
2022/05/12,92.2
2022/05/13,83.7
2022/05/14,88.9
2022/05/15,92.4
2022/05/16,87.3
2022/05/17,74.9
2022/05/18,86.7
2022/05/19,103.5
2022/05/20,94.0
2022/05/21,97.5
2022/05/22,84.3
2022/05/23,83.3
2022/05/24,81.5
2022/05/25,64.3
2022/05/26,64.4
2022/05/27,83.9
2022/05/28,77.4
2022/05/29,68.2
2022/05/30,61.5
2022/05/31,64.3
2022/06/01,72.9
2022/06/02,90.3
2022/06/03,67.2
2022/06/04,59.1
2022/06/05,71.0
2022/06/06,81.2
2022/06/07,76.1
2022/06/08,53.7
2022/06/09,55.6
2022/06/10,78.4
2022/06/11,91.2
2022/06/12,110.7
2022/06/13,120.4
2022/06/14,104.3
2022/06/15,111.9
2022/06/16,113.2
2022/06/17,129.8
2022/06/18,123.4
2022/06/19,114.6
2022/06/20,101.2
2022/06/21,94.7
2022/06/22,73.5
2022/06/23,56.1
2022/06/24,60.4
2022/06/25,73.6
2022/06/26,84.2
2022/06/27,83.9
2022/06/28,62.6
2022/06/29,82.3
2022/06/30,96.4
2022/07/01,94.8
2022/07/02,103.2
2022/07/03,105.8
2022/07/04,92.6
2022/07/05,77.1
2022/07/06,96.9
2022/07/07,101.0
2022/07/08,101.8
2022/07/09,89.9
2022/07/10,87.7
2022/07/11,94.6
2022/07/12,95.1
2022/07/13,96.4
2022/07/14,103.4
2022/07/15,101.5
2022/07/16,112.6
2022/07/17,114.1
2022/07/18,114.6
2022/07/19,114.2
2022/07/20,108.2
2022/07/21,117.0
2022/07/22,111.6
2022/07/23,105.4
2022/07/24,96.4
2022/07/25,98.3
2022/07/26,82.4
2022/07/27,96.0
2022/07/28,97.1
2022/07/29,70.5
2022/07/30,57.0
2022/07/31,78.6
2022/08/01,78.7
2022/08/02,92.1
2022/08/03,100.5
2022/08/04,93.9
2022/08/05,97.5
2022/08/06,92.5
2022/08/07,96.8
2022/08/08,86.9
2022/08/09,90.8
2022/08/10,96.1
2022/08/11,100.2
2022/08/12,96.0
2022/08/13,94.6
2022/08/14,89.6
2022/08/15,91.8
2022/08/16,85.1
2022/08/17,81.0
2022/08/18,52.9
2022/08/19,56.3
2022/08/20,60.7
2022/08/21,68.0
2022/08/22,88.0
2022/08/23,82.9
2022/08/24,82.4
2022/08/25,76.6
2022/08/26,78.6
2022/08/27,73.0
2022/08/28,75.7
2022/08/29,86.8
2022/08/30,76.3
2022/08/31,77.8
2022/09/01,76.0
2022/09/02,73.6
2022/09/03,75.6
2022/09/04,69.8
2022/09/05,72.5
2022/09/06,76.8
2022/09/07,68.4
2022/09/08,64.7
2022/09/09,66.7
2022/09/10,73.8
2022/09/11,62.5
2022/09/12,66.7
2022/09/13,75.9
2022/09/14,64.4
2022/09/15,58.0
2022/09/16,58.2
2022/09/17,65.4
2022/09/18,68.2
2022/09/19,56.2
2022/09/20,57.8
2022/09/21,57.9
2022/09/22,55.8
2022/09/23,64.4
2022/09/24,39.9
2022/09/25,40.5
2022/09/26,40.5
2022/09/27,46.2
2022/09/28,26.9
2022/09/29,26.4
2022/09/30,21.4
2022/10/01,27.3
2022/10/02,38.4
2022/10/03,32.1
2022/10/04,34.5
2022/10/05,33.9
2022/10/06,29.3
2022/10/07,29.3
2022/10/08,41.9
2022/10/09,40.2
2022/10/10,22.5
2022/10/11,14.0
2022/10/12,24.9
2022/10/13,21.1
2022/10/14,18.8
2022/10/15,28.9
2022/10/16,37.0
2022/10/17,25.8
2022/10/18,25.5
2022/10/19,21.6
2022/10/20,27.9
2022/10/21,26.2
2022/10/22,31.3
2022/10/23,16.1
2022/10/24,23.7
2022/10/25,18.5
2022/10/26,16.2
2022/10/27,16.3
2022/10/28,11.3
2022/10/29,16.5
2022/10/30,16.2
2022/10/31,13.3
2022/11/01,13.2
2022/11/02,8.5
2022/11/03,11.3
2022/11/04,37.6
2022/11/05,11.6
2022/11/06,11.3
2022/11/07,8.5
2022/11/08,3.7
2022/11/09,2.4
2022/11/10,3.5
2022/11/11,6.7
2022/11/12,4.5
2022/11/13,17.5
2022/11/14,20.4
2022/11/15,2.8
2022/11/16,12.2
2022/11/17,2.9
2022/11/18,9.8
2022/11/19,7.2
2022/11/20,11.0
2022/11/21,7.4
2022/11/22,16.5
2022/11/23,8.5
2022/11/24,7.2
2022/11/25,7.0
2022/11/26,5.1
2022/11/27,9.2
2022/11/28,5.0
2022/11/29,6.4
2022/11/30,2.6
2022/12/01,3.1
2022/12/02,5.5
2022/12/03,4.8
2022/12/04,13.2
2022/12/05,8.3
2022/12/06,4.0
2022/12/07,3.9
2022/12/08,3.9
2022/12/09,7.8
2022/12/10,13.0
2022/12/11,9.7
2022/12/12,9.0
2022/12/13,4.1
2022/12/14,4.2
2022/12/15,2.1
2022/12/16,3.6
2022/12/17,3.2
2022/12/18,4.0
2022/12/19,3.6
2022/12/20,3.3
2022/12/21,8.2
2022/12/22,3.8
2022/12/23,3.2
2022/12/24,2.4
2022/12/25,3.6
2022/12/26,2.3
2022/12/27,4.5
2022/12/28,2.8
2022/12/29,2.5
2022/12/30,2.4
2022/12/31,2.9
2023/01/01,4.0
2023/01/02,2.7
2023/01/03,1.9
2023/01/04,4.2
2023/01/05,10.2
2023/01/06,7.6
2023/01/07,13.3
2023/01/08,3.6
2023/01/09,18.5
2023/01/10,35.5
2023/01/11,3.3
2023/01/12,3.6
2023/01/13,2.4
2023/01/14,9.4
2023/01/15,2.8
2023/01/16,4.5
2023/01/17,4.0
2023/01/18,6.4
2023/01/19,22.7
2023/01/20,13.2
2023/01/21,21.9
2023/01/22,12.6
2023/01/23,3.6
2023/01/24,12.8
2023/01/25,12.4
2023/01/26,14.5
2023/01/27,25.0
2023/01/28,12.9
2023/01/29,15.6
2023/01/30,18.7
2023/01/31,12.0
2023/02/01,22.7
2023/02/02,32.7
2023/02/03,24.4
2023/02/04,42.0
2023/02/05,50.6
2023/02/06,41.6
2023/02/07,32.3
2023/02/08,27.6
2023/02/09,41.3
2023/02/10,15.0
2023/02/11,16.6
2023/02/12,28.0
2023/02/13,22.2
2023/02/14,21.0
2023/02/15,12.3
2023/02/16,35.5
2023/02/17,40.3
2023/02/18,50.3
2023/02/19,38.4
2023/02/20,18.8
2023/02/21,19.4
2023/02/22,13.9
2023/02/23,20.6
2023/02/24,19.9
2023/02/25,27.4
2023/02/26,38.4
2023/02/27,38.0
2023/02/28,33.5
2023/03/01,19.3
2023/03/02,17.8
2023/03/03,17.7
2023/03/04,27.8
2023/03/05,41.3
2023/03/06,56.5
2023/03/07,44.5
2023/03/08,30.9
2023/03/09,40.9
2023/03/10,40.0
2023/03/11,47.8
2023/03/12,56.4
2023/03/13,47.7
2023/03/14,42.7
2023/03/15,73.1
2023/03/16,50.8
2023/03/17,50.3
2023/03/18,41.7
2023/03/19,54.0
2023/03/20,50.8
2023/03/21,43.0
2023/03/22,50.4
2023/03/23,71.7
2023/03/24,61.7
2023/03/25,59.6
2023/03/26,46.5
2023/03/27,65.5
2023/03/28,74.5
2023/03/29,63.4
2023/03/30,55.5
2023/03/31,57.1
2023/04/01,47.6
2023/04/02,61.3
2023/04/03,44.6
2023/04/04,70.1
2023/04/05,67.8
2023/04/06,60.6
2023/04/07,51.9
2023/04/08,62.0
2023/04/09,83.1
2023/04/10,71.3
2023/04/11,64.2
2023/04/12,64.8
2023/04/13,57.1
2023/04/14,65.9
2023/04/15,61.1
2023/04/16,72.9
2023/04/17,57.9
2023/04/18,54.0
2023/04/19,68.2
2023/04/20,55.9
2023/04/21,46.3
2023/04/22,48.5
2023/04/23,69.2
2023/04/24,69.1
2023/04/25,74.2
2023/04/26,61.8
2023/04/27,71.3
2023/04/28,76.4
2023/04/29,68.6
2023/04/30,76.9
2023/05/01,63.2
2023/05/02,56.2
2023/05/03,66.0
2023/05/04,73.0
2023/05/05,81.0
2023/05/06,90.3
2023/05/07,88.2
2023/05/08,75.6
2023/05/09,73.3
2023/05/10,62.3
2023/05/11,51.9
2023/05/12,46.7
2023/05/13,65.0
2023/05/14,68.9
2023/05/15,61.2
2023/05/16,45.5
2023/05/17,42.5
2023/05/18,50.5
2023/05/19,47.1
2023/05/20,30.8
2023/05/21,44.9
2023/05/22,61.1
2023/05/23,68.5
2023/05/24,69.3
2023/05/25,70.3
2023/05/26,60.4
2023/05/27,85.3
2023/05/28,80.1
2023/05/29,89.7
2023/05/30,79.6
2023/05/31,88.3
2023/06/01,85.2
2023/06/02,90.8
2023/06/03,96.9
2023/06/04,86.6
2023/06/05,68.4
2023/06/06,79.3
2023/06/07,90.8
2023/06/08,98.5
2023/06/09,77.8
2023/06/10,72.9
2023/06/11,91.7
2023/06/12,96.8
2023/06/13,84.1
2023/06/14,81.3
2023/06/15,91.4
2023/06/16,91.9
2023/06/17,103.9
2023/06/18,100.0
2023/06/19,92.4
2023/06/20,98.3
2023/06/21,83.8
2023/06/22,101.9
2023/06/23,94.0
2023/06/24,107.5
2023/06/25,94.6
2023/06/26,109.4
2023/06/27,111.3
2023/06/28,99.6
2023/06/29,97.8
2023/06/30,61.6
2023/07/01,76.0
2023/07/02,73.1
2023/07/03,74.2
2023/07/04,91.0
2023/07/05,81.6
2023/07/06,66.9
2023/07/07,71.6
2023/07/08,101.4
2023/07/09,91.5
2023/07/10,100.5
2023/07/11,95.8
2023/07/12,89.2
2023/07/13,87.1
2023/07/14,67.9
2023/07/15,77.4
2023/07/16,85.6
2023/07/17,91.5
2023/07/18,87.4
2023/07/19,77.8
2023/07/20,103.8
2023/07/21,94.7
2023/07/22,80.7
2023/07/23,91.8
2023/07/24,67.3
2023/07/25,74.1
2023/07/26,71.9
2023/07/27,85.2
2023/07/28,78.3
2023/07/29,80.2
2023/07/30,76.7
2023/07/31,91.9
2023/08/01,87.1
2023/08/02,86.4
2023/08/03,84.0
2023/08/04,63.0
2023/08/05,76.5
2023/08/06,68.5
2023/08/07,76.1
2023/08/08,80.4
2023/08/09,84.1
2023/08/10,98.7
2023/08/11,105.6
2023/08/12,109.8
2023/08/13,105.8
2023/08/14,104.6
2023/08/15,104.0
2023/08/16,109.0
2023/08/17,98.1
2023/08/18,96.4
2023/08/19,119.8
2023/08/20,115.3
2023/08/21,104.4
2023/08/22,112.8
2023/08/23,110.1
2023/08/24,118.9
2023/08/25,109.1
2023/08/26,81.3
2023/08/27,53.1
2023/08/28,60.2
2023/08/29,38.5
2023/08/30,50.0
2023/08/31,63.4
2023/09/01,73.4
2023/09/02,73.9
2023/09/03,56.1
2023/09/04,70.7
2023/09/05,71.9
2023/09/06,69.7
2023/09/07,73.6
2023/09/08,77.1
2023/09/09,88.2
2023/09/10,98.1
2023/09/11,91.6
2023/09/12,80.8
2023/09/13,61.2
2023/09/14,42.7
2023/09/15,64.8
2023/09/16,55.1
2023/09/17,52.7
2023/09/18,39.8
2023/09/19,33.4
2023/09/20,40.0
2023/09/21,42.5
2023/09/22,53.8
2023/09/23,43.0
2023/09/24,34.9
2023/09/25,45.9
2023/09/26,41.1
2023/09/27,46.1
2023/09/28,48.0
2023/09/29,52.6
2023/09/30,59.3
2023/10/01,67.0
2023/10/02,51.9
2023/10/03,64.3
2023/10/04,68.2
2023/10/05,49.1
2023/10/06,41.1
2023/10/07,43.8
2023/10/08,33.6
2023/10/09,29.8
2023/10/10,44.3
2023/10/11,45.4
2023/10/12,51.3
2023/10/13,56.6
2023/10/14,49.2
2023/10/15,37.4
2023/10/16,43.3
2023/10/17,28.1
2023/10/18,24.7
2023/10/19,4.9
2023/10/20,15.7
2023/10/21,21.5
2023/10/22,37.9
2023/10/23,9.4
2023/10/24,14.6
2023/10/25,9.7
2023/10/26,4.0
2023/10/27,18.2
2023/10/28,14.6
2023/10/29,34.0
2023/10/30,22.4
2023/10/31,34.9
2023/11/01,15.4
2023/11/02,21.3
2023/11/03,20.8
2023/11/04,15.3
2023/11/05,32.7
2023/11/06,12.6
2023/11/07,15.1
2023/11/08,10.7
2023/11/09,5.9
2023/11/10,21.1
2023/11/11,14.6
2023/11/12,14.3
2023/11/13,6.8
2023/11/14,3.7
2023/11/15,11.3
2023/11/16,7.2
2023/11/17,31.2
2023/11/18,27.5
2023/11/19,10.6
2023/11/20,3.7
2023/11/21,16.8
2023/11/22,12.9
2023/11/23,7.8
2023/11/24,11.6
2023/11/25,58.8
2023/11/26,33.5
2023/11/27,7.3
2023/11/28,17.3
2023/11/29,23.3
2023/11/30,10.7
2023/12/01,7.7
2023/12/02,23.8
2023/12/03,27.4
2023/12/04,7.6
2023/12/05,7.8
2023/12/06,5.7
2023/12/07,4.3
2023/12/08,10.6
2023/12/09,10.2
2023/12/10,11.2
2023/12/11,3.0
2023/12/12,2.9
2023/12/13,2.8
2023/12/14,4.4
2023/12/15,6.3
2023/12/16,9.0
2023/12/17,5.8
2023/12/18,5.3
2023/12/19,4.5
2023/12/20,3.7
2023/12/21,3.8
2023/12/22,25.1
2023/12/23,24.6
2023/12/24,41.0
2023/12/25,24.2
2023/12/26,9.2
2023/12/27,3.0
2023/12/28,2.8
2023/12/29,3.3
2023/12/30,4.7
2023/12/31,7.4
2024/01/01,6.2
2024/01/02,1.8
2024/01/03,4.3
2024/01/04,6.9
2024/01/05,8.8
2024/01/06,12.8
2024/01/07,9.9
2024/01/08,9.2
2024/01/09,30.0
2024/01/10,26.3
2024/01/11,8.8
2024/01/12,5.8
2024/01/13,6.4
2024/01/14,1.9
2024/01/15,9.1
2024/01/16,7.7
2024/01/17,3.7
2024/01/18,3.8
2024/01/19,12.8
2024/01/20,21.0
2024/01/21,11.4
2024/01/22,9.8
2024/01/23,7.2
2024/01/24,8.3
2024/01/25,7.4
2024/01/26,4.7
2024/01/27,5.4
2024/01/28,9.1
2024/01/29,4.4
2024/01/30,4.4
2024/01/31,6.0
2024/02/01,4.2
2024/02/02,7.9
2024/02/03,18.4
2024/02/04,15.0
2024/02/05,21.8
2024/02/06,12.5
2024/02/07,20.1
2024/02/08,12.2
2024/02/09,25.4
2024/02/10,38.3
2024/02/11,27.2
2024/02/12,10.0
2024/02/13,9.8
2024/02/14,13.3
2024/02/15,6.7
2024/02/16,7.0
2024/02/17,19.6
2024/02/18,25.1
2024/02/19,29.3
2024/02/20,31.0
2024/02/21,24.1
2024/02/22,25.0
2024/02/23,36.0
2024/02/24,22.7
2024/02/25,40.9
2024/02/26,45.4
2024/02/27,25.0
2024/02/28,16.5
2024/02/29,11.8
2024/03/01,15.1
2024/03/02,34.7
2024/03/03,58.6
2024/03/04,42.8
2024/03/05,26.1
2024/03/06,39.6
2024/03/07,28.5
2024/03/08,37.1
2024/03/09,35.5
2024/03/10,46.7
2024/03/11,31.8
2024/03/12,33.1
2024/03/13,35.6
2024/03/14,41.1
2024/03/15,61.1
2024/03/16,54.0
2024/03/17,48.9
2024/03/18,56.5
2024/03/19,36.5
2024/03/20,51.7
2024/03/21,42.9
2024/03/22,47.9
2024/03/23,48.1
2024/03/24,77.4
2024/03/25,54.5
2024/03/26,43.4
2024/03/27,40.7
2024/03/28,30.8
2024/03/29,10.5
2024/03/30,39.0
2024/03/31,51.9
2024/04/01,70.2
2024/04/02,48.1
2024/04/03,40.2
2024/04/04,44.4
2024/04/05,66.8
2024/04/06,60.9
2024/04/07,53.6
2024/04/08,54.1
2024/04/09,60.9
2024/04/10,51.4
2024/04/11,41.6
2024/04/12,43.9
2024/04/13,60.1
2024/04/14,69.3
2024/04/15,91.4
2024/04/16,89.1
2024/04/17,70.6
2024/04/18,56.5
2024/04/19,56.5
2024/04/20,77.4
2024/04/21,67.5
2024/04/22,58.0
2024/04/23,44.0
2024/04/24,50.7
2024/04/25,70.0
2024/04/26,65.3
2024/04/27,54.5
2024/04/28,58.6
2024/04/29,43.3
2024/04/30,59.6
2024/05/01,58.9
2024/05/02,64.8
2024/05/03,52.2
2024/05/04,61.1
2024/05/05,77.5
2024/05/06,68.1
2024/05/07,43.4
2024/05/08,54.7
2024/05/09,50.5
2024/05/10,74.3
2024/05/11,78.6
2024/05/12,90.0
2024/05/13,80.6
2024/05/14,74.0
2024/05/15,65.5
2024/05/16,38.8
2024/05/17,46.7
2024/05/18,60.9
2024/05/19,66.8
2024/05/20,62.5
2024/05/21,75.1
2024/05/22,67.5
2024/05/23,53.2
2024/05/24,52.4
2024/05/25,74.3
2024/05/26,62.5
2024/05/27,72.6
2024/05/28,72.3
2024/05/29,80.9
2024/05/30,68.0
2024/05/31,55.7
2024/06/01,62.5
2024/06/02,73.1
2024/06/03,71.3
2024/06/04,79.8
2024/06/05,76.9
